date,location,gndr,age,employ,student,efl,income,kindphone,agephone,chngphone,provider,attitudepro,frequse,whotext,games,music,socialmed,famuse,phonehelp,buysmt,nobuynw,personalinfo,shop,bank,govform,QU,,
7/26/14,NYCHA,0,1,1,2,0,0,0,0,0,4,1,1,1,1,1,1,1,4,0,0,1,0,1,1,,,
7/25/14,Central Park,0,2,1,2,0,0,0,0,0,4,1,1,1,1,1,0,1,1,0,0,1,1,1,1,,,
8/6/14,Welfare center,1,0,4,0,0,0,1,1,1,2,0,0,1,0,0,0,1,0,0,0,1,0,1,1,,,
7/25/14,Central Park,1,1,2,2,0,0,0,1,1,4,1,0,1,1,1,1,1,1,0,0,1,1,1,1,,,
7/25/17,Central Park,1,1,2,2,0,0,1,1,1,3,0,1,1,0,0,0,1,1,0,3,1,0,1,1,,,
7/22/14,Bergen Welfare Office,1,2,2,2,0,0,0,1,0,4,2,0,1,1,1,1,1,4,0,0,1,0,1,1,,,
8/6/14,Welfare center,1,0,1,0,0,0,0,0,0,4,1,1,1,1,1,0,1,4,0,0,1,1,1,1,,,
7/27/14,NYCHA,1,0,2,2,0,0,0,0,0,4,1,1,1,1,1,0,1,1,0,0,1,1,1,1,,,
7/27/14,NYCHA,1,1,2,2,0,0,0,0,0,4,1,1,1,1,1,1,1,1,0,3,1,1,1,1,,,
8/8/14,Marine Park (King’s Plaza),0,2,1,2,1,1,1,4,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,,,
7/27/14,NYCHA,0,2,1,2,0,1,1,4,1,1,0,0,1,1,0,0,1,1,1,2,0,0,0,1,,,
7/30/14,Flatbush Ave,0,2,1,2,0,1,1,3,1,3,1,1,1,1,1,1,1,3,1,0,1,0,1,0,,,
8/4/14,Harlem,0,0,4,0,1,1,0,1,1,4,2,1,1,1,1,1,1,1,0,0,1,1,1,1,,,
8/4/14,Harlem,0,1,1,0,0,1,1,1,1,1,0,0,1,0,1,1,1,1,0,0,1,0,1,1,,,
7/26/14,NYCHA,0,1,1,2,0,1,0,1,1,4,1,1,1,1,1,0,1,1,0,3,1,1,1,1,,,
7/26/14,NYCHA,0,2,1,2,0,1,1,1,1,6,1,0,1,0,0,0,1,3,0,3,1,0,0,1,,,
7/22/14,SoBro (Simpson/196),0,2,1,2,0,1,1,1,1,3,0,0,1,1,0,1,1,1,0,1,1,0,1,1,,,
7/27/14,NYCHA,0,0,2,2,0,1,0,0,0,4,1,0,1,1,1,1,1,,0,0,1,1,1,1,,,
7/18/14,Houston street,0,1,1,2,0,1,0,0,1,4,1,2,1,1,1,1,1,4,0,0,1,0,0,0,,,
7/27/14,NYCHA,0,1,1,2,0,1,0,0,0,4,1,0,1,1,1,0,1,1,0,3,1,0,1,1,,,
8/6/14,Welfare center,0,1,1,2,0,1,0,0,0,4,1,1,1,1,1,1,1,,0,3,1,1,1,1,,,
8/2/14,SoBro (personal party),0,2,0,2,0,1,1,0,0,0,1,0,1,0,0,0,1,4,0,0,0,0,0,0,,,
7/18/14,Central Park,1,3,1,2,0,1,1,10,1,0,1,1,1,1,0,1,1,4,1,2,1,1,1,1,,,
7/31/14,Park Slope (Sunset park market),1,2,1,2,0,1,1,5,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,,,
8/8/14,Marine Park (King’s Plaza),1,3,2,2,0,1,1,5,1,5,1,0,1,1,1,1,1,1,1,2,0,1,1,1,,,
8/2/14,Bedford Ave,1,4,3,2,0,1,1,4,1,2,0,1,1,1,1,1,1,3,1,1,1,1,1,1,,,
8/8/14,Marine Park (King’s Plaza),1,4,3,2,0,1,1,4,1,1,1,2,1,1,1,1,1,0,1,1,0,0,1,0,,,
8/2/14,Bedford Ave,1,2,1,2,0,1,1,3,1,5,1,1,1,1,1,1,1,0,1,0,1,0,1,0,,,
8/8/14,Marine Park (King’s Plaza),1,3,1,2,1,1,1,3,1,5,1,1,1,1,1,1,1,1,1,2,0,0,1,0,,,
7/30/14,Flatbush Ave,1,3,0,2,1,1,1,2,1,8,1,0,1,1,1,1,1,1,1,1,1,0,1,0,,,
7/31/14,Park Slope (Sunset park market),1,3,3,2,0,1,1,2,1,5,1,1,1,1,1,1,1,1,1,2,0,0,0,0,,,
8/2/14,SoBro (personal party),1,2,1,2,0,1,1,1,0,5,0,0,1,0,0,0,1,4,0,2,1,0,1,1,,,
8/6/14,Welfare center,1,2,0,2,0,1,1,1,,2,1,1,1,1,0,0,1,,0,0,0,0,0,1,,,
8/5/14,Dwtn Bklyn (Fulton Mall),1,3,2,2,0,1,0,1,1,4,1,2,1,1,1,1,1,0,1,0,0,0,1,0,,,
7/25/14,Central Park,1,0,1,2,1,1,1,0,0,6,1,0,1,0,0,0,1,1,0,4,1,0,1,1,,,
7/22/14,SoBro (Simpson/196),1,1,0,2,0,1,1,0,0,5,1,0,1,1,0,0,1,3,0,0,1,1,1,1,,,
8/5/14,Dwtn Bklyn (Fulton Mall),1,3,2,2,0,1,0,0,1,4,2,1,1,1,1,1,1,3,1,0,0,1,0,0,,,
8/6/14,Welfare center,,1,0,1,0,1,0,,0,4,2,1,1,1,1,0,1,1,0,0,1,0,1,1,,,
41857,Bronx Zoo,0,2,0,2,0,2,0,6,1,4,1,2,1,1,1,1,1,4,0,0,1,1,1,1,,,
8/2/14,Bedford Ave,0,3,0,2,1,2,1,5,1,0,0,1,1,0,1,1,1,0,1,0,1,0,0,0,,,
8/5/14,Dwtn Bklyn (Fulton Mall),0,3,1,2,0,2,1,5,1,1,0,0,1,1,0,1,1,1,1,3,0,0,1,0,,,
8/5/14,Dwtn Bklyn (Fulton Mall),0,3,2,2,0,2,1,4,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,,,
8/8/14,Marine Park (King’s Plaza),0,2,1,2,0,2,1,3,1,0,1,1,1,0,0,0,1,3,0,0,0,0,1,0,,,
7/31/14,Park Slope (Sunset park market),0,3,3,2,1,2,1,3,1,0,0,1,1,1,0,1,1,3,1,0,0,0,0,0,,,
8/2/14,Bedford Ave,0,3,0,2,0,2,1,2,1,0,1,0,1,1,0,0,1,1,1,3,1,0,0,0,,,
8/5/14,Dwtn Bklyn (Fulton Mall),0,3,1,2,0,2,1,2,1,8,0,0,1,1,1,0,1,0,1,0,0,0,0,0,,,
8/5/14,Dwtn Bklyn (Fulton Mall),0,3,1,2,1,2,1,2,1,2,1,0,1,0,0,0,1,1,0,0,0,0,1,0,,,
8/8/14,Marine Park (King’s Plaza),0,3,1,2,1,2,1,2,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,,,
8/8/14,Marine Park (King’s Plaza),0,3,1,2,0,2,1,1,1,1,0,0,1,1,0,1,1,1,1,2,0,0,0,0,,,
8/6/14,Welfare center,0,2,0,2,0,2,0,0,0,4,2,1,1,1,1,0,1,,0,3,1,0,1,1,,,
7/25/14,Central Park,0,3,1,2,0,2,0,0,0,4,2,1,1,1,1,1,1,,0,3,1,1,1,1,,,
7/26/14,NYCHA,0,3,0,2,0,2,0,0,0,4,2,1,1,1,1,1,1,,0,3,1,1,1,1,,,
8/8/14,Marine Park (King’s Plaza),1,2,1,2,1,2,1,4,1,1,1,1,1,0,1,1,1,3,0,3,0,0,0,0,,,
8/5/14,Dwtn Bklyn (Fulton Mall),1,3,0,2,0,2,1,4,1,5,0,0,1,1,1,1,1,1,1,2,1,0,0,0,,,
7/31/14,Park Slope (Sunset park market),1,3,1,2,0,2,1,4,1,2,0,1,1,1,1,1,1,1,1,0,1,0,1,0,,,
8/4/14,Dwtn Bklyn (City Tech),1,2,1,2,0,2,1,3,1,0,1,1,1,0,0,1,1,1,1,3,0,0,1,0,,,
8/2/14,Bedford Ave,1,3,1,2,0,2,1,3,1,5,0,0,1,1,1,1,1,1,1,2,1,0,1,0,,,
7/31/14,Park Slope (Sunset park market),1,3,1,2,1,2,0,3,1,4,1,1,1,1,1,1,1,1,1,0,0,0,0,0,,,
8/8/14,Marine Park (King’s Plaza),1,3,1,2,0,2,1,3,1,1,0,1,1,1,0,1,1,1,0,0,1,0,1,0,,,
8/8/14,Marine Park (King’s Plaza),1,2,1,2,0,2,1,2,1,5,1,1,1,1,1,1,1,0,0,0,0,0,0,0,,,
8/16/14,Bedford Sty (North BK Welfare),1,2,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,0,1,2,0,0,1,0,,,
7/31/14,Park Slope (Sunset park market),1,4,2,2,0,2,0,2,1,5,1,1,1,1,1,1,1,1,1,0,1,1,1,0,,,
7/25/14,Central Park,1,2,4,0,0,2,1,1,3,0,1,0,1,0,1,1,1,0,1,2,0,0,0,1,,,
8/8/14,Marine Park (King’s Plaza),1,2,2,2,1,2,1,1,1,8,1,1,1,1,1,1,1,1,1,0,1,1,1,0,,,
7/25/14,Central Park,1,3,0,2,0,2,1,1,1,1,0,0,1,1,0,1,1,1,1,2,0,0,0,1,,,
7/18/14,Houston street,1,3,3,2,0,2,0,0,1,4,1,1,1,0,0,1,1,4,0,0,0,0,1,1,,,
7/22/14,SoBro (Simpson/196),1,3,1,2,1,2,1,0,0,3,2,0,1,1,1,1,1,0,0,3,0,0,0,1,,,
,,0,0,4,0,0,3,0,0,0,4,2,2,1,1,1,1,1,,0,0,1,1,1,1,,,
7/18/14,Central Park,0,2,0,1,0,3,1,0,0,3,0,0,1,1,0,0,1,4,0,0,0,0,0,1,,,
7/25/14,Central Park,0,4,3,2,0,3,1,0,1,3,0,0,1,1,0,0,1,1,0,1,1,1,1,1,,,
7/27/14,NYCHA,1,2,0,2,0,3,1,1,1,3,0,0,1,0,0,0,1,1,0,0,1,0,1,1,,,
,Harlem,1,0,4,0,0,3,0,0,0,6,2,1,1,0,1,1,1,3,0,0,1,1,1,1,,,
7/20/14,Harlem,0,1,1,0,0,4,1,1,1,3,1,1,1,0,0,0,1,1,0,2,0,0,1,1,,,
7/19/14,Central Park,0,1,1,0,0,4,1,0,0,3,1,1,1,1,1,1,1,2,1,2,1,0,0,0,,,
7/18/14,Houston street,0,1,1,2,0,3,0,0,0,4,1,0,2,0,0,0,0,4,0,0,0,0,1,0,,,
8/2/14,Bedford Ave,0,3,0,2,1,1,1,0,1,8,1,1,2,1,1,1,1,0,1,0,1,0,1,0,,,
8/5/14,Dwtn Bklyn (Fulton Mall),1,3,1,2,1,1,1,4,1,0,1,1,2,1,1,1,1,3,1,0,0,0,0,0,,,
8/8/14,Marine Park (King’s Plaza),1,3,2,2,0,1,1,3,1,2,1,1,2,1,1,1,1,0,0,3,0,0,0,0,,,
8/4/14,Dwtn Bklyn (City Tech),1,2,1,2,1,1,1,2,1,5,1,0,2,1,1,1,1,3,0,0,0,0,0,0,,,
8/5/14,Dwtn Bklyn (Fulton Mall),1,3,0,2,0,2,1,6,1,1,1,1,2,1,1,1,1,0,1,1,0,0,1,0,,,
8/5/14,Dwtn Bklyn (Fulton Mall),1,3,1,2,0,2,1,4,1,5,0,1,2,1,0,1,1,3,0,0,0,1,0,0,,,
8/8/14,Marine Park (King’s Plaza),1,3,1,2,0,2,1,4,1,0,1,0,2,0,0,0,1,0,1,0,0,0,1,0,,,
8/3/14,Harlem,1,2,0,2,0,2,1,3,1,3,0,0,2,1,0,0,1,1,0,2,1,0,1,1,,,
8/10/14,Dominican Pride Parade,0,2,0,2,0,3,1,5,1,1,0,1,2,0,0,1,1,1,1,2,0,0,0,0,,,
41852,Willamsburg Welfare Center,0,3,2,2,0,0,0,0,1,4,1,2,3,1,1,1,0,0,1,2,1,1,1,1,,,
41857,Bronx Zoo,0,1,1,2,0,1,0,3,1,4,2,1,3,1,1,1,0,0,0,3,0,1,1,0,,,
7/20/14,East NY (Gateway Mall),0,4,3,2,0,2,1,1,1,6,0,1,3,1,1,1,0,0,1,2,1,1,1,1,,,
7/19/14,SoBro (St Mary’s Park),1,4,3,2,0,3,0,2,1,4,0,2,3,1,1,1,0,0,1,2,1,1,1,1,,,
7/19/14,Central Park,0,3,3,2,0,4,0,5,1,2,1,2,3,1,1,1,0,0,1,0,0,0,0,0,,,
41854,Flatbush Ave,0,4,3,2,0,2,1,10,1,2,1,2,3,1,1,1,1,4,1,2,1,0,1,1,,,
7/22/14,SoBro (Simpson/196),0,3,2,2,0,2,1,3,1,1,0,2,3,1,1,1,1,0,1,2,1,1,1,1,,,
7/25/14,Central Park,0,4,3,2,1,2,0,2,1,4,1,1,3,1,1,1,1,0,1,2,1,1,1,1,,,
7/18/14,SoBro (Courtlandt),0,4,3,2,1,2,1,2,1,6,0,2,3,1,1,1,1,0,1,2,1,1,1,1,,,
7/27/14,NYCHA,0,4,3,2,0,2,0,2,1,4,1,2,3,1,1,1,1,0,1,2,1,1,1,1,,,
7/19/14,SoBro (St Mary’s Park),0,4,3,2,1,2,0,0,0,4,1,1,3,1,1,1,1,0,1,1,1,1,1,1,,,
41852,Willamsburg Welfare Center,1,2,0,2,0,2,0,4,1,4,1,1,3,1,1,1,1,1,0,0,1,1,1,1,,,
8/29/14,Mott Haven/Melrose,0,0,2,0,0,0,,,1,0,2,2,0,0,0,0,1,2,0,0,1,1,1,1,,,
"Aug 29, 2014",Mott Haven/Melrose,0,3,0,2,0,3,1,1,1,1,0,0,2,1,1,1,1,1,1,2,1,1,1,1,,,
"Aug 29, 2014",Mott Haven/Melrose,0,2,2,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,0,,,
"Aug 29, 2014",Mott Haven/Melrose,1,3,1,2,0,1,1,1,1,4,1,1,0,1,1,1,1,1,1,2,1,0,1,1,,,
"Aug 29, 2014",Sutter & Amboy,0,4,3,2,0,0,1,1,1,4,0,2,,1,1,1,1,0,1,1,1,1,1,1,,,
"Aug 29, 2014",Sutter & Amboy,0,3,2,2,0,,,,,,,,,,,,,,,,,,,,,,
"Aug 30, 2014",Mount Prospect Park,0,3,0,2,0,1,0,1,1,4,1,1,0,1,1,1,0,0,0,2,1,0,0,0,,,
"Sep 4, 2014",Ashford and New Lots,1,1,2,2,0,,1,1,1,4,2,2,,0,1,1,1,1,0,0,1,1,1,0,,,
NONE,NONE,0,2,0,2,0,,1,1,0,1,0,1,0,1,1,1,0,0,1,0,1,1,1,1,,,
NONE,NONE,0,3,0,2,0,1,1,0,0,2,0,0,0,0,0,0,1,0,1,2,1,0,1,1,,,
NONE,NONE,1,4,2,2,1,,1,1,0,0,1,1,,1,0,1,1,0,0,0,1,1,1,1,,,
NONE,NONE,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,4,0,0,0,0,0,0,,,
KW,Bowling Green/FiDi,1,2,0,1,1,3,1,1,1,0,1,0,1,0,1,1,1,3,0,0,0,0,1,1,,,
KW,BSRC,1,3,2,2,0,0,0,1,1,4,1,0,1,1,1,1,1,0,1,0,0,0,1,0,,,
KW,BSRC,0,3,2,2,1,1,0,1,0,4,1,0,1,1,1,1,1,0,0,0,1,0,1,1,,,
KW,BSRC,1,3,2,2,1,0,1,1,1,5,1,1,0,1,0,1,0,3,0,3,1,1,1,1,Spanish,,
KW,BSRC,1,3,2,2,1,0,0,1,1,4,2,1,0,1,1,1,0,0,1,0,1,0,1,1,Spanish,,
KW,Harlem Meer,0,2,1,2,0,3,1,0,0,3,1,1,0,1,1,1,1,2,1,0,0,0,0,0,USA citizen married to recent Paraguayan immigrant,,
KW,Harlem Meer,1,1,2,2,1,3,1,0,0,3,1,1,0,0,0,1,1,0,0,0,1,1,0,1,Paraguayan recent immigrant married to USA citizen ,,
KW,"Hunts Point, BX",1,2,2,2,1,1,1,1,1,5,1,0,1,1,0,1,0,0,0,0,0,0,1,0,"Spanish, Waiting for bus",,
KW,"Hunts Point, BX",1,3,3,2,0,3,1,1,1,3,0,0,1,1,1,1,1,0,1,2,0,0,0,1,"Waiting for bus, uses phone more than online for forms",,
KW,"Hunts Point, BX",1,1,1,2,1,1,1,1,1,2,3,0,1,0,0,1,0,0,0,0,1,0,1,0,"Spanish, Waiting for bus",,
KW,"Hunts Point, BX",1,2,2,1,0,2,1,1,1,0,1,1,1,1,0,1,1,,1,2,1,1,1,1,Immigrant from Jamaica,,
KW,"Iglesia Hermosa, Harlem",0,2,2,2,1,0,0,1,0,4,1,1,0,1,0,1,0,0,1,0,1,1,1,0,Spanish,,
KW,"Iglesia Hermosa, Harlem",1,3,2,2,1,0,1,1,1,3,1,0,1,0,0,1,1,3,0,1,1,0,1,1,"Transgender, Spanish",,
KW,"Iglesia Hermosa, Harlem",1,3,1,2,1,1,1,1,1,2,1,0,1,0,0,1,0,0,0,0,1,0,1,1,Spanish,,
KW,"Iglesia Hermosa, Harlem",0,3,2,2,1,3,1,1,1,5,1,0,1,0,0,1,0,0,1,2,1,1,1,1,,,
KW,West 116 and Fred Douglas Blvd,1,4,3,2,1,0,0,1,0,4,1,1,1,1,1,1,1,1,1,2,1,1,1,1,"Spanish, Adult Day Care",,
KW,West 116 and Fred Douglas Blvd,0,4,3,2,1,1,0,1,1,4,1,1,0,1,1,1,1,3,1,2,1,1,1,1,"Spanish, Adult Day Care",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,